ROTATION,DATE,TTL ROTN CRED,DOM TAFB,INTL TAFB,FLT PAY,NIGHT PAY,INTL PAY,LANG PAY,LAYOVER STN,LAYOVER TIME,LAYOVER HOTEL,LEG STATUS,FLT #,EQUIP,DEPT DATE,DEPT,DEPT TIME,ARRV,ARRV TIME,LEG BLOCK TIME
5887,12FEB2016,00294,00390,00000,00294,00000,00000,00000,   ,    0,                    , ,2318,32K,12FEB2016,MSP,0694,BZN,0780,0158
5887,12FEB2016,00294,00390,00000,00294,00000,00000,00000,   ,00000,                    ,D,2318,32K,12FEB2016,BZN,0834,MSP,1010,0136
5853,13FEB2016,00543,00668,00000,00543,00000,00543,00000,   ,00000,                    , ,0728,31J,13FEB2016,MSP,0553,ZLO,0804,0282
5853,13FEB2016,00543,00668,00000,00543,00000,00543,00000,   ,00000,                    , ,0745,31J,13FEB2016,ZLO,0871,MSP,1132,0261
2417,14FEB2016,00524,00655,00000,00524,00000,00524,00000,   ,00000,                    , ,0519,32K,14FEB2016,MSP,0619,CUN,0912,0245
2417,14FEB2016,00524,00655,00000,00524,00000,00524,00000,   ,00000,                    , ,0520,32K,14FEB2016,CUN,0970,MSP,1189,0279
2435,19FEB2016,00426,00551,00000,00426,00000,00000,00000,   ,00000,                    , ,1147,75Y,19FEB2016,MSP,0782,RSW,1023,0203
2435,19FEB2016,00426,00551,00000,00426,00000,00000,00000,   ,00000,                    , ,1147,75Y,19FEB2016,RSW,1108,MSP,1261,0223
2416,20FEB2016,00517,00664,00000,00517,00000,00517,00000,   ,00000,                    , ,0791,739,20FEB2016,MSP,0618,PVR,0873,0271
2416,20FEB2016,00517,00664,00000,00517,00000,00517,00000,   ,00000,                    , ,0594,739,20FEB2016,PVR,0955,MSP,1194,0246
2441,26FEB2016,00484,00601,00000,00484,00000,00484,00000,   ,00000,                    , ,0705,320,26FEB2016,MSP,0790,CUN,1072,0235
2441,26FEB2016,00484,00601,00000,00484,00000,00484,00000,   ,00000,                    , ,0702,320,26FEB2016,CUN,1135,MSP,1306,0249
0670,29FEB2016,00324,00426,00000,00324,00000,00000,00000,   ,00000,                    , ,0674,75Y,29FEB2016,MSP,0983,ATL,1187,0152
0670,29FEB2016,00324,00426,00000,00324,00000,00000,00000,   ,00000,                    ,D,1067,M90,29FEB2016,ATL,1261,MSP,1351,0172
2374,02MAR2016,00491,00620,00000,00491,00000,00491,00000,   ,00000,                    , ,0330,32K,02MAR2016,MSP,0625,MZT,0792,0252
2374,02MAR2016,00491,00620,00000,00491,00000,00491,00000,   ,00000,                    , ,0974,32K,02MAR2016,MZT,0859,MSP,1158,0239
2396,05MAR2016,00516,00670,00000,00516,00000,00516,00000,   ,00000,                    , ,0705,32K,05MAR2016,MSP,0793,CUN,1108,0255
2396,05MAR2016,00516,00670,00000,00516,00000,00516,00000,   ,00000,                    , ,0702,32K,05MAR2016,CUN,1178,MSP,1379,0261
2346,12MAR2016,00501,00619,00000,00501,00000,00501,00000,   ,00000,                    , ,1731,32K,12MAR2016,MSP,0543,NAS,0839,0236
2346,12MAR2016,00501,00619,00000,00501,00000,00501,00000,   ,00000,                    , ,1753,32K,12MAR2016,NAS,0911,MSP,1084,0265
2440,14MAR2016,00420,00831,00000,00294,00000,00000,00000,   ,00000,                    , ,0935,M90,14MAR2016,MSP,1180,SYR,1365,0130
2440,14MAR2016,00420,00831,00000,00294,00000,00000,00000,   ,00000,                    , ,1552,M90,15MAR2016,SYR,0402,MSP,0500,0164
2016,16MAR2016,00408,00531,00000,00408,00000,00000,00000,   ,00000,                    , ,1992,76Q,16MAR2016,MSP,0780,MCO,1031,0194
2016,16MAR2016,00408,00531,00000,00408,00000,00000,00000,   ,00000,                    , ,1992,76Q,16MAR2016,MCO,1093,MSP,1241,0214
2398,19MAR2016,00507,00638,00000,00507,00000,00507,00000,   ,00000,                    , ,0705,32K,19MAR2016,MSP,0792,CUN,1050,0258
2398,19MAR2016,00507,00638,00000,00507,00000,00507,00000,   ,00000,                    , ,0702,32K,19MAR2016,CUN,1113,MSP,1347,0249
2016,23MAR2016,00408,00523,00000,00408,00000,00000,00000,   ,00000,                    , ,1992,76P,23MAR2016,MSP,0785,MCO,1037,0194
2016,23MAR2016,00408,00523,00000,00408,00000,00000,00000,   ,00000,                    , ,1992,76P,23MAR2016,MCO,1093,MSP,1233,0214
2377,25MAR2016,00508,00620,00000,00508,00000,00508,00000,   ,00000,                    , ,0371,32K,25MAR2016,MSP,0627,SJD,0777,0270
2377,25MAR2016,00508,00620,00000,00508,00000,00508,00000,   ,00000,                    , ,0785,32K,25MAR2016,SJD,0823,MSP,1160,0238
2391,26MAR2016,00460,00601,00000,00460,00000,00000,00000,   ,00000,                    , ,1151,32K,26MAR2016,MSP,0702,SFO,0822,0246
2391,26MAR2016,00460,00601,00000,00460,00000,00000,00000,   ,00000,                    , ,1151,32K,26MAR2016,SFO,0906,MSP,1231,0214
1025,28MAR2016,01073,00000,02732,01073,00000,01073,00000,CDG,01481,PULLMAN MONTPARNASSE, ,0169,333,28MAR2016,MSP,1020,CDG,0489,0508
