ROTATION,DATE,TTL ROTN CRED,DOM TAFB,INTL TAFB,FLT PAY,NIGHT PAY,INTL PAY,LANG PAY,LAYOVER STN,LAYOVER TIME,LAYOVER HOTEL,LEG STATUS,FLT #,EQUIP,DEPT DATE,DEPT,DEPT TIME,ARRV,ARRV TIME,LEG BLOCK TIME
1009,04JAN2020,01351,00000,02877,01351,00000,01351,00000,LHR,01278,HOLIDAY INN CLOSE   , ,0018,332,04JAN2020,SLC,1078,LHR,0622,0600
1009,04JAN2020,01351,00000,02877,01351,00000,01351,00000,   ,00000,                    , ,0017,332,06JAN2020,LHR,0564,LAS,0736,0655
1009,04JAN2020,01351,00000,02877,01351,00000,01351,00000,   ,00000,                    ,D,2953,739,06JAN2020,LAS,0831,SLC,0987,0096
N005,17JAN2020,00635,02212,00000,00558,00000,00000,00000,   ,00000,                    ,D,8843,75C,17JAN2020,SLC,1064,DAL,1307,0183
N005,17JAN2020,00635,02212,00000,00558,00000,00000,00000,OKC,01214,RENAISSANCE DOWNTOWN, ,8941,75C,18JAN2020,DAL,0040,OKC,0091,0052
N005,17JAN2020,00635,02212,00000,00558,00000,00000,00000,   ,00000,                    , ,8941,75C,18JAN2020,OKC,1438,PDX,0104,0226
N005,17JAN2020,00635,02212,00000,00558,00000,00000,00000,   ,00000,                    ,D,8840,75C,19JAN2020,PDX,0165,SLC,0312,0097
N008,21JAN2020,00855,02468,00000,00342,00000,00000,00000,PHX,01362,COURTYARD SCOTTSDALE,D,0740,321,21JAN2020,SLC,1245,PHX,1338,0110
N008,21JAN2020,00855,02468,00000,00342,00000,00000,00000,SFO,00564,HYATT SFO AIRPORT   , ,8929,75C,22JAN2020,PHX,1366,SFO,1420,0116
N008,21JAN2020,00855,02468,00000,00342,00000,00000,00000,   ,00000,                    ,D,1390,319,23JAN2020,SFO,0615,SLC,0777,0116
2382,26JAN2020,00285,00466,00000,00259,00000,00000,00000,   ,00000,                    , ,1268,738,26JAN2020,SLC,1015,SEA,1079,0140
2382,26JAN2020,00285,00466,00000,00259,00000,00000,00000,   ,00000,                    , ,2324,738,26JAN2020,SEA,1235,SLC,1411,0119
N003,28JAN2020,00680,01709,00000,00459,00000,00000,00000,   ,00000,                    , ,8945,75C,28JAN2020,SLC,0808,SAT,1016,0152
N003,28JAN2020,00680,01709,00000,00459,00000,00000,00000,   ,00000,                    ,D,8843,75C,28JAN2020,SAT,1063,DAL,1118,0059
N003,28JAN2020,00680,01709,00000,00459,00000,00000,00000,PHX,00764,HOLIDAY INN PHX APT , ,8940,75C,28JAN2020,DAL,1408,PHX,0055,0148
N003,28JAN2020,00680,01709,00000,00459,00000,00000,00000,   ,00000,                    ,D,2877,321,29JAN2020,PHX,0889,SLC,0989,0100
5858,07FEB2020,00285,00342,00000,00227,00000,00000,00000,   ,00000,                    , ,2747,221,07FEB2020,SLC,1028,SNA,1066,0114
5858,07FEB2020,00285,00342,00000,00227,00000,00000,00000,   ,00000,                    , ,2747,221,07FEB2020,SNA,1114,SLC,1287,0113
N014,08FEB2020,01052,03316,00000,00826,00000,00000,00000,PHX,01163,COURTYARD SCOTTSDALE,D,1469,320,08FEB2020,SLC,0929,PHX,1027,0102
N014,08FEB2020,01052,03316,00000,00826,00000,00000,00000,   ,00000,                    , ,8940,75C,09FEB2020,PHX,0833,LAX,0865,0092
N014,08FEB2020,01052,03316,00000,00826,00000,00000,00000,PDX,00886,HILTON DTWN PDX     ,D,8841,75C,09FEB2020,LAX,0914,PDX,1064,0150
N014,08FEB2020,01052,03316,00000,00826,00000,00000,00000,   ,00000,                    , ,8941,75C,10FEB2020,PDX,0591,MSY,0964,0253
N014,08FEB2020,01052,03316,00000,00826,00000,00000,00000,   ,00000,                    ,D,2078,738,10FEB2020,MSY,1136,SLC,1296,0229
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,   ,00000,                    , ,1469,319,12FEB2020,SLC,0924,PHX,1021,0103
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,   ,00000,                    , ,1469,319,12FEB2020,PHX,1062,SLC,1155,0101
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,STL,00773,MARRIOTT STL AIRPORT, ,1430,319,12FEB2020,SLC,1226,STL,0002,0165
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,   ,00000,                    , ,3018,717,13FEB2020,STL,0849,DTW,1009,0100
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,DFW,00782,MARRIOTT DFW NORTH  , ,1862,221,13FEB2020,DTW,1219,DFW,1338,0184
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,   ,00000,                    , ,2657,221,14FEB2020,DFW,0751,SLC,0854,0175
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,   ,00000,                    , ,2747,221,14FEB2020,SLC,1015,SNA,1061,0114
6075,12FEB2020,01052,03312,00000,01051,00000,00000,00000,   ,00000,                    , ,2747,221,14FEB2020,SNA,1111,SLC,1277,0109
5900,17FEB2020,00629,02007,00000,00584,00000,00000,00000,   ,00000,                    , ,0702,319,17FEB2020,SLC,0811,JAC,0866,0061
5900,17FEB2020,00629,02007,00000,00584,00000,00000,00000,   ,00000,                    , ,0702,319,17FEB2020,JAC,0908,SLC,0964,0075
5900,17FEB2020,00629,02007,00000,00584,00000,00000,00000,BNA,01024,HYATT PLACE BNA     , ,0524,319,17FEB2020,SLC,1221,BNA,0021,0201
5900,17FEB2020,00629,02007,00000,00584,00000,00000,00000,   ,00000,                    , ,0878,319,18FEB2020,BNA,1119,SLC,1306,0247
N017,21FEB2020,01238,04314,00000,00413,00000,00000,00000,OKC,02499,RENAISSANCE DOWNTOWN, ,8943,75C,21FEB2020,SLC,1376,OKC,0126,0130
N017,21FEB2020,01238,04314,00000,00413,00000,00000,00000,SAT,01115,HOL INN RIVERWALK   , ,8943,75C,23FEB2020,OKC,1302,SAT,1385,0083
N017,21FEB2020,01238,04314,00000,00413,00000,00000,00000,   ,00000,                    ,O,4100,OO ,24FEB2020,SAT,1132,SLC,1254,0200
1020,02MAR2020,01223,00000,02672,01223,00000,01223,00000,LHR,01284,HOLIDAY INN CLOSE   , ,0018,332,02MAR2020,SLC,1085,LHR,0616,0589
1020,02MAR2020,01223,00000,02672,01223,00000,01223,00000,   ,00000,                    , ,0017,332,04MAR2020,LHR,0562,SLC,0773,0634
N012,09MAR2020,01140,03855,00000,00545,00000,00000,00000,PDX,01295,HILTON DTWN PDX     ,D,1674,739,09MAR2020,SLC,1358,PDX,1405,0130
N012,09MAR2020,01140,03855,00000,00545,00000,00000,00000,   ,00000,                    , ,8940,75C,10MAR2020,PDX,1355,PHX,0062,0147
N012,09MAR2020,01140,03855,00000,00545,00000,00000,00000,OKC,01725,RENAISSANCE DOWNTOWN,D,8839,75C,11MAR2020,PHX,0124,OKC,0345,0118
N012,09MAR2020,01140,03855,00000,00545,00000,00000,00000,   ,00000,                    , ,8940,75C,12MAR2020,OKC,0735,SLC,0825,0150
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,   ,00000,                    , ,2378,321,15MAR2020,SLC,0690,SAN,0740,0114
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,   ,00000,                    , ,2378,321,15MAR2020,SAN,0808,SLC,0974,0113
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,SAN,00641,HOLIDAY INN BAYSIDE , ,2546,321,15MAR2020,SLC,1042,SAN,1099,0117
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,   ,00000,                    , ,2872,320,16MAR2020,SAN,0369,SLC,0537,0121
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,MCI,00993,CROWNE PLAZA MCI DTW, ,1513,320,16MAR2020,SLC,0600,MCI,0792,0143
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,   ,00000,                    , ,2165,M90,17MAR2020,MCI,0418,ATL,0592,0121
2620,15MAR2020,01010,03230,00000,00989,00000,00000,00000,   ,00000,                    , ,1781,739,17MAR2020,ATL,0842,SLC,0970,0260
0359,18MAR2020,00637,02029,00000,00560,00000,00000,00000,MCO,01020,ROSEN PLAZA HOTEL   , ,2624,76Z,18MAR2020,SLC,0978,MCO,1351,0256
0359,18MAR2020,00637,02029,00000,00560,00000,00000,00000,   ,00000,                    ,D,2624,75D,19MAR2020,MCO,0998,SLC,1169,0304
